ATPT_OFCDC_SC_CODE,ATPT_OFCDC_SC_NM,SD_SCHUL_CODE,AY,Latitude,Longitude,고등학교구분명,location_Cluster,sub_Cluster,final_Cluster
B10,서울특별시교육청,7010264,2022,37.5581136,126.9086053,일반고,5,9,6
B10,서울특별시교육청,7011087,2022,37.5581136,126.9086053,특성화고,5,11,6
B10,서울특별시교육청,7010265,2022,37.54843,126.8319927095,일반고,0,1,16
B10,서울특별시교육청,7011089,2022,37.549159,126.8329089603,특성화고,0,11,11
B10,서울특별시교육청,7010266,2022,37.5543735,126.96092,일반고,5,1,8
B10,서울특별시교육청,7010766,2022,37.6349579,127.0389197,일반고,2,1,28
B10,서울특별시교육청,7010292,2022,37.58518945,127.0698752058,특성화고,7,3,37
B10,서울특별시교육청,7010267,2022,37.58294965,127.067436819,일반고,7,1,37
B10,서울특별시교육청,7010268,2022,37.50523845,127.0619982643,자율고,1,1,20
B10,서울특별시교육청,7011113,2022,37.58645625,127.0685139877,일반고,7,1,35
